NDB_No,protein,fat,carbon
~13356~,0.6494983277591974,0.33411371237458193,0.016387959866220735
~13359~,0.6231367465975373,0.35515230071289694,0.02171095268956578
~13361~,0.6957373836354728,0.30426261636452717,0.0
~13362~,0.6921375921375922,0.3078624078624078,0.0
~13363~,0.757078592220164,0.24292140777983592,0.0
~13364~,0.7812908283250588,0.21870917167494122,0.0
~13365~,0.7688900468994267,0.23110995310057317,0.0
~13366~,0.8075675675675675,0.19243243243243244,0.0
~13367~,0.5784927661412221,0.42150723385877775,0.0
~13368~,0.7469244288224957,0.2530755711775044,0.0
~13369~,0.8042043510144219,0.1957956489855781,0.0
~13370~,0.826335403726708,0.17366459627329192,0.0
~13371~,0.452239092831059,0.547760907168941,0.0
~13372~,0.6702508960573477,0.32974910394265233,0.0
~13373~,0.6015381417584702,0.39846185824152985,0.0
~13375~,0.6247061337892712,0.37529386621072874,0.0
~13377~,0.8130636119912259,0.18693638800877407,0.0
~13378~,0.8519274955322952,0.1480725044677049,0.0
~13379~,0.529618082618862,0.470381917381138,0.0
~13380~,0.5512847294756632,0.4487152705243367,0.0
~13381~,0.5882225589954536,0.41177744100454644,0.0
~13382~,0.7001803426510369,0.29981965734896304,0.0
~13383~,0.7321471507573936,0.2678528492426064,0.0
~13384~,0.7647058823529412,0.23529411764705882,0.0
~13386~,0.4278476261962845,0.5721523738037155,0.0
~13387~,0.4789881680946553,0.5210118319053448,0.0
~13388~,0.672611776203274,0.3273882237967261,0.0
~13389~,0.6473077827415942,0.3526922172584058,0.0
~13390~,0.7071667094785513,0.29283329052144874,0.0
~13391~,0.6491311592477982,0.35086884075220187,0.0
~13392~,0.519865461425268,0.480134538574732,0.0
~13393~,0.5572706935123042,0.4427293064876957,0.0
~13394~,0.7961559285327559,0.2038440714672442,0.0
~13395~,0.7055863110216407,0.29441368897835934,0.0
~13396~,0.7632008709853022,0.23679912901469788,0.0
~13398~,0.7911362564827912,0.20886374351720885,0.0
~13399~,0.7803073420603301,0.21969265793966988,0.0
~13401~,0.7659723847413995,0.23402761525860052,0.0
~13402~,0.7406587323553834,0.2593412676446166,0.0
~13404~,0.8166706245547376,0.1833293754452624,0.0
~13405~,0.8224956063268892,0.17750439367311072,0.0
~13407~,0.8159347252219822,0.18406527477801776,0.0
~13408~,0.8107476635514018,0.18925233644859812,0.0
~13410~,0.7855616243172643,0.2144383756827357,0.0
~13411~,0.7811244979919679,0.21887550200803213,0.0
~13413~,0.8471986417657047,0.15280135823429541,0.0
~13414~,0.8414634146341464,0.15853658536585366,0.0
~13415~,0.8692848769050411,0.13071512309495897,0.0
~13416~,0.8604852686308493,0.1395147313691508,0.0
~13417~,0.881208856971873,0.11879114302812686,0.0
~13418~,0.8844444444444445,0.11555555555555555,0.0
~13419~,0.875438596491228,0.12456140350877191,0.0
~13420~,0.8959028831562973,0.10409711684370257,0.0
~13421~,0.7654285714285715,0.2345714285714286,0.0
~13422~,0.7521581732108048,0.2478418267891952,0.0
~13423~,0.7791788856304985,0.22082111436950147,0.0
~13424~,0.8161873702935072,0.18381262970649273,0.0
~13425~,0.8117302052785923,0.18826979472140762,0.0
~13426~,0.8620472440944882,0.13795275590551181,0.0
~13428~,0.8495110899117576,0.1504889100882423,0.0
~13430~,0.8339967220791384,0.16600327792086164,0.0
~13432~,0.8698412698412699,0.13015873015873017,0.0
~13436~,0.8616412213740459,0.13835877862595422,0.0
~13438~,0.9002991026919243,0.09970089730807578,0.0
~13439~,0.7739152499365644,0.2260847500634357,0.0
~13440~,0.7567635270541082,0.2432364729458918,0.0
~13441~,0.8006730520320994,0.1993269479679006,0.0
~13442~,0.7867760123013839,0.2132239876986161,0.0
~13443~,0.7712765957446809,0.22872340425531915,0.0
~13444~,0.8109024517475221,0.18909754825247782,0.0
~13445~,0.7192849949647533,0.28071500503524677,0.0
~13446~,0.6926289926289926,0.30737100737100737,0.0
~13447~,0.7617554858934169,0.23824451410658304,0.0
~13448~,0.7783342119135478,0.22166578808645232,0.0
~13449~,0.7542591636551369,0.2457408363448632,0.0
~13450~,0.8164987748434522,0.1835012251565478,0.0
