NDB_No,protein,fat,carbon
~19244~,0.0030303030303030303,0.0494949494949495,0.9474747474747475
~19246~,0.023662551440329214,0.0,0.9763374485596709
~19247~,0.0234009360374415,0.0,0.9765990639625586
~19248~,0.057160417947141974,0.3534111862323294,0.5894283958205285
~19249~,0.09901298701298701,0.32561038961038963,0.5753766233766234
~19250~,0.06385591485878019,0.28489562013917313,0.6512484650020467
~19252~,0.09244235695986336,0.25,0.6575576430401366
~19254~,0.060960591133004935,0.3255336617405583,0.6135057471264368
~19255~,0.053483099752679314,0.33439818631492174,0.612118713932399
~19256~,0.04655209919512726,0.20850554709593216,0.7449423537089406
~19258~,0.04161220043572984,0.2224400871459695,0.7359477124183006
~19260~,0.12088915956151035,0.226857490864799,0.6522533495736906
~19263~,0.05581395348837209,0.004651162790697674,0.9395348837209302
~19265~,0.09814250069309675,0.15913501524812865,0.7427224840587746
~19268~,0.07696254489481785,0.3078501795792714,0.6151872755259107
~19270~,0.08837209302325581,0.2558139534883721,0.6558139534883721
~19271~,0.08163265306122448,0.21428571428571427,0.7040816326530612
~19279~,0.07731636060100167,0.34620200333889817,0.5764816360601002
~19280~,0.012121212121212121,0.0,0.9878787878787879
~19281~,0.002214022140221402,0.0014760147601476014,0.9963099630996309
~19283~,0.0,0.012326656394453005,0.987673343605547
~19292~,0.044583333333333336,0.20125,0.7541666666666668
~19293~,0.1183431952662722,0.16568047337278108,0.7159763313609467
~19294~,0.009036144578313254,0.006950880444856348,0.9840129749768305
~19295~,0.16034065818525917,0.380822205866891,0.45883713594784986
~19296~,0.003627569528415961,0.0,0.9963724304715841
~19297~,0.0053391053391053395,0.0010101010101010103,0.9936507936507937
~19300~,0.0021391899600684537,0.0002852253280091272,0.9975755847119224
~19301~,0.03520208604954368,0.22935680139069972,0.7354411125597566
~19302~,0.05839731804909701,0.24224072672218017,0.6993619552287229
~19303~,0.0045045045045045045,0.0,0.9954954954954955
~19304~,0.0,0.0013363624214887079,0.9986636375785114
~19306~,0.07726388588718393,0.26280527339528853,0.6599308407175276
~19307~,0.035426731078905,0.19323671497584544,0.7713365539452496
~19308~,0.027641408751334046,0.16189967982924228,0.8104589114194237
~19309~,0.0044956140350877185,0.09166666666666666,0.9038377192982456
~19310~,0.0032967032967032967,0.0032967032967032967,0.9934065934065934
~19312~,0.0038022813688212928,0.0038022813688212928,0.9923954372623575
~19313~,0.004481853957149103,0.09083952776563184,0.9046786182772191
~19314~,0.0130098452883263,0.0024613220815752463,0.9845288326300984
~19315~,0.004436860068259386,0.08850967007963595,0.9070534698521047
~19318~,0.0,0.006430868167202572,0.9935691318327975
~19319~,0.10405083399523432,0.11119936457505956,0.7847498014297062
~19320~,0.0,0.004282655246252677,0.9957173447537473
~19321~,0.11383464894058995,0.12006647278770254,0.7660988782717075
~19322~,0.009533898305084745,0.1059322033898305,0.8845338983050847
~19323~,0.11372549019607843,0.13725490196078433,0.7490196078431373
~19324~,0.010615711252653927,0.12059447983014861,0.8687898089171975
~19325~,0.12244897959183673,0.15510204081632653,0.7224489795918367
~19326~,0.059225280326197755,0.29867482161060144,0.6420998980632009
~19327~,0.06656184486373165,0.30062893081761005,0.6328092243186583
~19328~,0.08507772020725389,0.27181347150259066,0.6431088082901555
~19330~,0.0,0.007284079084287199,0.9927159209157128
~19331~,0.10505836575875487,0.11284046692607003,0.7821011673151751
~19332~,0.0010822510822510825,0.005411255411255412,0.9935064935064936
~19333~,0.025028879476318832,0.04312668463611861,0.9318444358875626
~19334~,0.0012218714998472658,0.0,0.9987781285001527
~19335~,0.0,0.0,1.0
~19336~,0.0,0.0,1.0
~19337~,0.02378082191780822,0.0,0.9762191780821917
~19340~,0.0010964912280701754,0.0021929824561403508,0.9967105263157895
~19345~,0.037909558624424584,0.026265908475494176,0.9358245329000813
~19348~,0.06020942408376963,0.11649214659685864,0.8232984293193717
~19349~,0.0,0.0,1.0
~19350~,0.0,0.0025977399662293803,0.9974022600337706
~19351~,0.0,0.0,1.0
~19352~,0.08,0.0,0.9199999999999999
~19353~,0.0005957700327673518,0.0008936550491510277,0.9985105749180817
~19355~,0.0,0.0,1.0
~19359~,0.07290891699436709,0.2591136146242959,0.667977468381337
~19360~,0.0,0.001434720229555237,0.9985652797704448
~19362~,0.0,0.0,1.0
~19363~,0.001995798319327731,0.044642857142857144,0.9533613445378152
~19364~,0.0207832360013741,0.0,0.9792167639986259
~19365~,0.009987515605493135,0.003745318352059925,0.986267166042447
~19366~,0.0015015015015015015,0.0015015015015015015,0.996996996996997
~19367~,0.053204067155355875,0.2601087727595176,0.6866871600851265
~19368~,0.001993704092339979,0.045540398740818465,0.9524658971668415
~19369~,0.0018907563025210086,0.04201680672268908,0.95609243697479
~19370~,0.0019928676316341514,0.04583595552758548,0.9521711768407803
~19371~,0.0038919413919413924,0.14583333333333334,0.8502747252747253
~19372~,0.012942699141075422,0.15142957995058243,0.8356277209083421
~19375~,0.005199716379106594,0.006263294729378398,0.988536988891515
~19379~,0.024813350900307417,0.1919191919191919,0.7832674571805006
~19382~,0.00031605562579013904,0.03508217446270544,0.9646017699115045
~19383~,0.010858534605236454,0.33235234422569515,0.6567891211690684
~19384~,0.014596925798960525,0.0006634966272254783,0.984739577573814
~19387~,0.0,0.09811320754716982,0.9018867924528301
~19393~,0.11461318051575932,0.17191977077363899,0.7134670487106017
~19409~,0.017580784944905285,0.08877058313730345,0.8936486319177912
~19701~,0.04316546762589928,0.3052415210688592,0.6515930113052415
~19702~,0.07934893184130214,0.0,0.9206510681586979
