NDB_No,protein,fat,carbon
~15119~,0.7801285484734868,0.21987145152651313,0.0
~15121~,0.9529411764705882,0.04705882352941176,0.0
~15123~,0.9561060408518035,0.04389395914819643,0.0
~15124~,0.7665414620052009,0.2334585379947992,0.0
~15126~,0.8883038736367056,0.11169612636329448,0.0
~15127~,0.980313378867015,0.019686621132985138,0.0
~15128~,0.46211466436185544,0.2667819072313455,0.27110342840679924
~15129~,0.8447368421052632,0.15526315789473685,0.0
~15130~,0.765130260521042,0.23486973947895792,0.0
~15131~,0.9617755856966708,0.03822441430332923,0.0
~15132~,0.9332313965341489,0.06676860346585119,0.0
~15133~,0.9328565752880412,0.06714342471195868,0.0
~15134~,0.8798391151332328,0.12016088486676722,0.0
~15135~,0.8153629316420014,0.1846370683579986,0.0
~15136~,0.9682371625198517,0.03176283748014822,0.0
~15137~,0.926280516993777,0.07371948300622307,0.0
~15138~,0.330155979202773,0.019930675909878685,0.6499133448873484
~15139~,0.9416058394160584,0.05630865484880084,0.0020855057351407717
~15140~,0.9602577873254565,0.0397422126745435,0.0
~15141~,0.9602577873254565,0.0397422126745435,0.0
~15142~,0.7164126196384261,0.26657213753987946,0.017015242821694435
~15143~,0.9105648535564855,0.050732217573221765,0.03870292887029289
~15144~,0.9400406504065041,0.059959349593495935,0.0
~15145~,0.943853427895981,0.0561465721040189,0.0
~15146~,0.9332220367278798,0.0667779632721202,0.0
~15147~,0.9565720903300521,0.04342790966994789,0.0
~15148~,0.9566968781470292,0.0433031218529708,0.0
~15149~,0.8763683193818416,0.06503541532517708,0.05859626529298133
~15150~,0.473859105006646,0.27204253433761627,0.2540983606557377
~15151~,0.8761538461538462,0.06538461538461539,0.05846153846153846
~15152~,0.9375573921028467,0.062442607897153356,0.0
~15153~,0.5389299695519791,0.06394084384515006,0.39712918660287083
~15154~,0.8394458027709861,0.0615321923390383,0.09902200488997555
~15155~,0.7163803937997486,0.03183912861332216,0.2517804775869291
~15156~,0.5240256273358248,0.1809930592632141,0.29498131340096106
~15157~,0.7640625,0.05,0.1859375
~15158~,0.3986562150055991,0.31215005599104145,0.2891937290033595
~15159~,0.7830217591173766,0.0597609561752988,0.15721728470732454
~15160~,0.7640201638311279,0.0500945179584121,0.18588531821045998
~15162~,0.7692307692307693,0.038461538461538464,0.19230769230769232
~15163~,0.9144144144144144,0.039414414414414414,0.04617117117117117
~15164~,0.6674144699943915,0.1256309590577678,0.2069545709478407
~15165~,0.6672273619287917,0.12559573871600785,0.20717689935520042
~15166~,0.8214876033057852,0.05730027548209367,0.12121212121212123
~15167~,0.5631163708086785,0.16863905325443787,0.2682445759368836
~15168~,0.26599939338792844,0.3815589930239612,0.3524416135881104
~15169~,0.562838836865451,0.1685559388861508,0.2686052242483982
~15170~,0.5252976190476191,0.18377976190476192,0.29092261904761907
~15171~,0.5658682634730539,0.1377245508982036,0.2964071856287425
~15172~,0.7666878575969485,0.031150667514303877,0.2021614748887476
~15173~,0.4616760347470618,0.2795094532447624,0.2588145120081758
~15174~,0.5365546218487396,0.017226890756302522,0.446218487394958
~15175~,0.7774451097804391,0.0688622754491018,0.1536926147704591
~15176~,0.5401987353206865,0.22523336344474557,0.2345679012345679
~15177~,0.745,0.0125,0.2425
~15178~,0.745,0.0125,0.2425
~15179~,0.8088495575221238,0.1911504424778761,0.0
~15180~,0.7957668028221314,0.20423319717786856,0.0
~15181~,0.7657762291908633,0.23422377080913664,0.0
~15182~,0.7368610511159107,0.2631389488840893,0.0
~15183~,0.7801285484734868,0.21987145152651313,0.0
~15184~,0.9688568173186479,0.031143182681352067,0.0
~15185~,0.7665414620052009,0.2334585379947992,0.0
